,Point,sampleID,group,group.1,t-SNE 1,t-SNE 2
2783,1_679.txt,but_min5_1_1,but_min5_1,but_min5,-5.874912261962891,-9.99614143371582
2784,1_680.txt,but_min5_1_2,but_min5_1,but_min5,-4.259085178375244,-10.546099662780762
2785,1_681.txt,but_min5_1_3,but_min5_1,but_min5,-3.6975438594818115,-10.565688133239746
2786,1_682.txt,but_min5_1_4,but_min5_1,but_min5,-6.623225688934326,-10.099448204040527
2787,1_683.txt,but_min5_1_5,but_min5_1,but_min5,-7.500142574310303,-7.786853790283203
2788,1_684.txt,but_min5_1_6,but_min5_1,but_min5,-4.95726203918457,-9.32880687713623
2789,1_685.txt,but_min5_1_7,but_min5_1,but_min5,-4.702427387237549,-11.373311996459961
2790,1_686.txt,but_min5_1_8,but_min5_1,but_min5,-6.168770790100098,-7.829932689666748
2791,1_687.txt,but_min5_1_9,but_min5_1,but_min5,-5.213792324066162,-9.113846778869629
2792,1_689.txt,but_min5_1_10,but_min5_1,but_min5,-7.638654708862305,-11.781255722045898
2793,1_690.txt,but_min5_1_11,but_min5_1,but_min5,-5.062686443328857,-8.954296112060547
2794,1_691.txt,but_min5_1_12,but_min5_1,but_min5,-8.031375885009766,-10.804051399230957
2795,1_692.txt,but_min5_1_13,but_min5_1,but_min5,-8.694457054138184,-9.641989707946777
2796,1_694.txt,but_min5_1_14,but_min5_1,but_min5,-7.391462802886963,-11.040762901306152
2797,1_695.txt,but_min5_1_15,but_min5_1,but_min5,-6.9388041496276855,-11.341456413269043
2798,1_696.txt,but_min5_1_16,but_min5_1,but_min5,-6.810583114624023,-11.889150619506836
2799,1_698.txt,but_min5_1_17,but_min5_1,but_min5,-4.619542121887207,-12.60378360748291
2800,1_699.txt,but_min5_1_18,but_min5_1,but_min5,-8.926573753356934,-10.255218505859375
2801,1_700.txt,but_min5_1_19,but_min5_1,but_min5,-7.0215606689453125,-11.413701057434082
2802,1_702.txt,but_min5_1_20,but_min5_1,but_min5,-5.360401153564453,-12.152141571044922
2803,1_703.txt,but_min5_1_21,but_min5_1,but_min5,-5.996858596801758,-11.817644119262695
