,Point,sampleID,group,group.1,t-SNE 1,t-SNE 2
4512,1_1882.txt,cr_min5_1_1,cr_min5_1,cr_min5,-13.926637649536133,8.674291610717773
4513,1_1883.txt,cr_min5_1_2,cr_min5_1,cr_min5,-17.497852325439453,9.038044929504395
4514,1_1884.txt,cr_min5_1_3,cr_min5_1,cr_min5,-15.305684089660645,7.593393325805664
4515,1_1885.txt,cr_min5_1_4,cr_min5_1,cr_min5,-16.315385818481445,9.87415599822998
4516,1_1886.txt,cr_min5_1_5,cr_min5_1,cr_min5,-15.270668983459473,8.964296340942383
4517,1_1887.txt,cr_min5_1_6,cr_min5_1,cr_min5,-13.542253494262695,7.808452129364014
4518,1_1888.txt,cr_min5_1_7,cr_min5_1,cr_min5,-14.986815452575684,10.881087303161621
4519,1_1889.txt,cr_min5_1_8,cr_min5_1,cr_min5,-9.668890953063965,0.4596458971500397
4520,1_1890.txt,cr_min5_1_9,cr_min5_1,cr_min5,-13.396742820739746,10.793737411499023
4521,1_1891.txt,cr_min5_1_10,cr_min5_1,cr_min5,-13.22952651977539,9.915477752685547
4522,1_1892.txt,cr_min5_1_11,cr_min5_1,cr_min5,-13.244223594665527,9.284621238708496
4523,1_1893.txt,cr_min5_1_12,cr_min5_1,cr_min5,-15.399984359741211,7.115203857421875
4524,1_1894.txt,cr_min5_1_13,cr_min5_1,cr_min5,-18.070783615112305,5.756314277648926
4525,1_1895.txt,cr_min5_1_14,cr_min5_1,cr_min5,-17.16916847229004,5.376357555389404
4526,1_1896.txt,cr_min5_1_15,cr_min5_1,cr_min5,-16.509340286254883,8.402631759643555
4527,1_1897.txt,cr_min5_1_16,cr_min5_1,cr_min5,-15.889227867126465,8.951210975646973
4528,1_1898.txt,cr_min5_1_17,cr_min5_1,cr_min5,-16.088165283203125,6.618786334991455
4529,1_1899.txt,cr_min5_1_18,cr_min5_1,cr_min5,-13.10269546508789,8.752004623413086
4530,1_1900.txt,cr_min5_1_19,cr_min5_1,cr_min5,-16.041309356689453,7.567019939422607
4531,1_1901.txt,cr_min5_1_20,cr_min5_1,cr_min5,-15.112136840820312,6.325583457946777
4532,1_1902.txt,cr_min5_2_1,cr_min5_2,cr_min5,-14.889289855957031,8.822608947753906
4533,1_1903.txt,cr_min5_2_2,cr_min5_2,cr_min5,-14.913752555847168,7.48175048828125
4534,1_1904.txt,cr_min5_2_3,cr_min5_2,cr_min5,-14.663954734802246,6.949872016906738
4535,1_1905.txt,cr_min5_2_4,cr_min5_2,cr_min5,-14.099846839904785,9.319218635559082
4536,1_1906.txt,cr_min5_2_5,cr_min5_2,cr_min5,-17.699295043945312,6.685122966766357
4537,1_1907.txt,cr_min5_2_6,cr_min5_2,cr_min5,-14.28783893585205,7.253518581390381
4538,1_1908.txt,cr_min5_2_7,cr_min5_2,cr_min5,-14.641326904296875,10.083893775939941
4539,1_1909.txt,cr_min5_2_8,cr_min5_2,cr_min5,-14.243935585021973,11.069487571716309
4540,1_1910.txt,cr_min5_2_9,cr_min5_2,cr_min5,-13.809033393859863,9.472963333129883
4541,1_1911.txt,cr_min5_2_10,cr_min5_2,cr_min5,-14.195290565490723,9.709912300109863
4542,1_1912.txt,cr_min5_2_11,cr_min5_2,cr_min5,-17.844524383544922,5.844550132751465
4543,1_1913.txt,cr_min5_2_12,cr_min5_2,cr_min5,-14.772000312805176,8.240480422973633
4544,1_1914.txt,cr_min5_2_13,cr_min5_2,cr_min5,-14.110689163208008,8.753150939941406
4545,1_1919.txt,cr_min5_2_14,cr_min5_2,cr_min5,-16.08971405029297,1.7359353303909302
4546,1_1920.txt,cr_min5_2_15,cr_min5_2,cr_min5,-14.029434204101562,0.7226784825325012
4547,1_1921.txt,cr_min5_2_16,cr_min5_2,cr_min5,-15.25223445892334,2.395134925842285
4548,1_1922.txt,cr_min5_2_17,cr_min5_2,cr_min5,-13.755481719970703,1.2031844854354858
4549,1_1923.txt,cr_min5_2_18,cr_min5_2,cr_min5,-13.5007905960083,-0.07623808085918427
4550,1_1924.txt,cr_min5_2_19,cr_min5_2,cr_min5,-14.052887916564941,-1.1958426237106323
4551,1_1925.txt,cr_min5_2_20,cr_min5_2,cr_min5,-15.070235252380371,0.5009928345680237
4552,1_1927.txt,cr_min5_3_1,cr_min5_3,cr_min5,-12.313566207885742,-0.8594223856925964
4553,1_1928.txt,cr_min5_3_2,cr_min5_3,cr_min5,-15.332659721374512,2.112704038619995
4554,1_1929.txt,cr_min5_3_3,cr_min5_3,cr_min5,-14.435669898986816,1.5329824686050415
4555,1_1930.txt,cr_min5_3_4,cr_min5_3,cr_min5,-13.951432228088379,3.1041157245635986
4556,1_1931.txt,cr_min5_3_5,cr_min5_3,cr_min5,-13.288226127624512,1.4282476902008057
4557,1_1933.txt,cr_min5_3_6,cr_min5_3,cr_min5,-13.479333877563477,-1.4288585186004639
4558,1_1934.txt,cr_min5_3_7,cr_min5_3,cr_min5,-12.734094619750977,0.814189612865448
4559,1_1935.txt,cr_min5_3_8,cr_min5_3,cr_min5,-13.392864227294922,1.159493327140808
4560,1_1937.txt,cr_min5_3_9,cr_min5_3,cr_min5,-14.643054962158203,1.9299747943878174
4561,1_1939.txt,cr_min5_3_10,cr_min5_3,cr_min5,-14.333209037780762,-0.3098357319831848
4562,1_1940.txt,cr_min5_3_11,cr_min5_3,cr_min5,-13.992864608764648,-0.696424663066864
4563,1_1941.txt,cr_min5_3_12,cr_min5_3,cr_min5,-13.353918075561523,-1.7443822622299194
4564,1_1942.txt,cr_min5_3_13,cr_min5_3,cr_min5,-14.905996322631836,3.0579521656036377
4565,1_1944.txt,cr_min5_3_14,cr_min5_3,cr_min5,-13.386682510375977,-0.18050815165042877
4566,1_1946.txt,cr_min5_3_15,cr_min5_3,cr_min5,-12.334577560424805,-0.349850058555603
4567,1_1947.txt,cr_min5_3_16,cr_min5_3,cr_min5,-13.119400024414062,-0.42843592166900635
4568,1_1948.txt,cr_min5_3_17,cr_min5_3,cr_min5,-13.026409149169922,-0.5715186595916748
4569,1_1949.txt,cr_min5_3_18,cr_min5_3,cr_min5,-11.963045120239258,11.010441780090332
4570,1_1954.txt,cr_min5_3_19,cr_min5_3,cr_min5,-15.971501350402832,0.6526740789413452
4571,1_1959.txt,cr_min5_3_20,cr_min5_3,cr_min5,-14.384954452514648,0.40421271324157715
4632,1_2047.txt,cr_min10_1_1,cr_min10_1,cr_min10,-10.540602684020996,12.899632453918457
4633,1_2048.txt,cr_min10_1_2,cr_min10_1,cr_min10,-8.471246719360352,14.395526885986328
4634,1_2049.txt,cr_min10_1_3,cr_min10_1,cr_min10,-8.008987426757812,13.067774772644043
4635,1_2050.txt,cr_min10_1_4,cr_min10_1,cr_min10,-9.80917739868164,13.948199272155762
4636,1_2051.txt,cr_min10_1_5,cr_min10_1,cr_min10,-11.479620933532715,13.106877326965332
4637,1_2052.txt,cr_min10_1_6,cr_min10_1,cr_min10,-7.669122695922852,14.186985969543457
4638,1_2053.txt,cr_min10_1_7,cr_min10_1,cr_min10,-8.36194133758545,11.918519020080566
4639,1_2054.txt,cr_min10_1_8,cr_min10_1,cr_min10,-9.908400535583496,13.261138916015625
4640,1_2055.txt,cr_min10_1_9,cr_min10_1,cr_min10,-8.453145027160645,13.439650535583496
4641,1_2056.txt,cr_min10_1_10,cr_min10_1,cr_min10,-10.616674423217773,13.884851455688477
4642,1_2057.txt,cr_min10_1_11,cr_min10_1,cr_min10,-8.444869041442871,12.962300300598145
4643,1_2058.txt,cr_min10_1_12,cr_min10_1,cr_min10,-9.138084411621094,13.578214645385742
4644,1_2061.txt,cr_min10_1_13,cr_min10_1,cr_min10,-8.385316848754883,12.460719108581543
4645,1_2070.txt,cr_min10_1_14,cr_min10_1,cr_min10,-9.539423942565918,16.045812606811523
4646,1_2074.txt,cr_min10_1_15,cr_min10_1,cr_min10,-9.226056098937988,14.68415355682373
4647,1_2075.txt,cr_min10_1_16,cr_min10_1,cr_min10,-9.070207595825195,11.641611099243164
4648,1_2076.txt,cr_min10_1_17,cr_min10_1,cr_min10,-9.762444496154785,11.331134796142578
4649,1_2077.txt,cr_min10_1_18,cr_min10_1,cr_min10,-6.819005966186523,12.723651885986328
4650,1_2078.txt,cr_min10_1_19,cr_min10_1,cr_min10,-9.481863021850586,12.213016510009766
4651,1_2079.txt,cr_min10_1_20,cr_min10_1,cr_min10,-9.577322006225586,13.452958106994629
4652,1_2080.txt,cr_min10_2_1,cr_min10_2,cr_min10,-10.081262588500977,14.868867874145508
4653,1_2081.txt,cr_min10_2_2,cr_min10_2,cr_min10,-7.3428239822387695,12.032137870788574
4654,1_2083.txt,cr_min10_2_3,cr_min10_2,cr_min10,-6.735970497131348,11.92523193359375
4655,1_2084.txt,cr_min10_2_4,cr_min10_2,cr_min10,-7.649613857269287,12.274887084960938
4656,1_2085.txt,cr_min10_2_5,cr_min10_2,cr_min10,-9.543587684631348,12.789639472961426
4657,1_2086.txt,cr_min10_2_6,cr_min10_2,cr_min10,-7.3312506675720215,13.472765922546387
4658,1_2087.txt,cr_min10_2_7,cr_min10_2,cr_min10,-9.859980583190918,11.651187896728516
4659,1_2088.txt,cr_min10_2_8,cr_min10_2,cr_min10,-10.246516227722168,11.859611511230469
4660,1_2090.txt,cr_min10_2_9,cr_min10_2,cr_min10,-7.446882724761963,11.822918891906738
4661,1_2093.txt,cr_min10_2_10,cr_min10_2,cr_min10,-17.594131469726562,16.824993133544922
4662,1_2094.txt,cr_min10_2_11,cr_min10_2,cr_min10,-17.738000869750977,17.083343505859375
4663,1_2095.txt,cr_min10_2_12,cr_min10_2,cr_min10,-15.088296890258789,15.74203872680664
4664,1_2096.txt,cr_min10_2_13,cr_min10_2,cr_min10,-16.86485481262207,16.52058219909668
4665,1_2098.txt,cr_min10_2_14,cr_min10_2,cr_min10,-13.372157096862793,14.356375694274902
