,Point,sampleID,group,group.1,t-SNE 1,t-SNE 2
1054,1_249.txt,kan_min5_1_1,kan_min5_1,kan_min5,-13.232112884521484,-7.694880485534668
1055,1_251.txt,kan_min5_1_2,kan_min5_1,kan_min5,-14.18579387664795,-9.930810928344727
1056,1_252.txt,kan_min5_1_3,kan_min5_1,kan_min5,-12.649325370788574,-8.811487197875977
1057,1_253.txt,kan_min5_1_4,kan_min5_1,kan_min5,-13.498023986816406,-9.468408584594727
1058,1_254.txt,kan_min5_1_5,kan_min5_1,kan_min5,-13.824383735656738,-8.904019355773926
1059,1_255.txt,kan_min5_1_6,kan_min5_1,kan_min5,-13.412568092346191,-9.568697929382324
1060,1_256.txt,kan_min5_1_7,kan_min5_1,kan_min5,-13.213583946228027,-9.808557510375977
1061,1_258.txt,kan_min5_1_8,kan_min5_1,kan_min5,-12.79656982421875,-9.737533569335938
1062,1_259.txt,kan_min5_1_9,kan_min5_1,kan_min5,-13.174811363220215,-10.870866775512695
1063,1_260.txt,kan_min5_1_10,kan_min5_1,kan_min5,-12.646329879760742,-9.601848602294922
1064,1_261.txt,kan_min5_1_11,kan_min5_1,kan_min5,-12.208436965942383,-9.598262786865234
1065,1_262.txt,kan_min5_1_12,kan_min5_1,kan_min5,-11.776066780090332,-9.816665649414062
1066,1_263.txt,kan_min5_1_13,kan_min5_1,kan_min5,-12.117476463317871,-9.89582633972168
1067,1_264.txt,kan_min5_1_14,kan_min5_1,kan_min5,-12.989291191101074,-9.197432518005371
1068,1_268.txt,kan_min5_1_15,kan_min5_1,kan_min5,-12.320196151733398,-11.268404960632324
1069,1_272.txt,kan_min5_1_16,kan_min5_1,kan_min5,-12.211094856262207,-10.513822555541992
1070,1_273.txt,kan_min5_1_17,kan_min5_1,kan_min5,-12.557291030883789,-10.763018608093262
1071,1_274.txt,kan_min5_1_18,kan_min5_1,kan_min5,-12.577094078063965,-9.796895027160645
1072,1_276.txt,kan_min5_1_19,kan_min5_1,kan_min5,-11.541308403015137,-8.219812393188477
1073,1_277.txt,kan_min5_1_20,kan_min5_1,kan_min5,-13.034390449523926,-8.319719314575195
